SMILES,TITLE,receptor,Chemgauss4
c1cc(ncc1Br)NC(=O)[C@@H]2CCC[N@](C2)c3c4cc[nH]c4ncn3,SIM-263894-ENA,Not Available,-11.803145
c1c[nH]c2c1c(ncn2)C(=O)N[C@H]3C[C@H](C34CCC4)[NH3+],SIM-351178-ENA,Not Available,-11.803054
c1c[nH]c2c1c(ncn2)[N@@]3CCC[C@H](C3)C(=O)Nc4nncs4,SIM-263592-MOS,Not Available,-11.801508
c1cc(ccc1CCO[C@H]2CC[C@@H](C2)Nc3c4cn[nH]c4ncn3)Cl,SIM-51440-SUR,Not Available,-11.801397
c1ccc2c(c1)[C@H](CCO2)NC(=O)c3cccc(c3)n4cnnn4,EDB=44288,Not Available,-11.797929
C[C@@H](CNC(=O)c1cc2c([nH]c(n2)O)nc1)[NH2+]CCC3CCCCC3,T2K-473274,Not Available,-11.796141
c1ccc(cc1)CC[C@H](O)[C@H]2CC[C@H](CC2)CNc3ncnc4c3cn[nH]4,SIM-61915-SUR,Not Available,-11.795594
c1ccc(cc1)CC[C@H](O)[C@H]2CC[C@H](CC2)CNc3ncnc4c3cn[nH]4,SIM-61913-SUR,Not Available,-11.795594
CCc1nc(no1)[C@H]2CCC[N@H+]2C[C@@H](COc3ccc(cc3)C#N)O,EDB=120358,Not Available,-11.795534
c1ccc(cc1)[C@@H](CC(=O)N[C@H]2CCC[N@](C2)c3c4cc[nH]c4ncn3)O,SIM-201711-SUR,Not Available,-11.781817
c1cc(ccc1Nc2c3c([nH]cn3)ncn2)Oc4ccc(cc4)Cl,SIM-147014-ZIN,Not Available,-11.775477
c1ccc(cc1)CC[C@H](O)C2CC[C@@H](CC2)CNc3ncnc4c3cn[nH]4,SIM-61916-SUR,Not Available,-11.770535
c1c(c2c([nH]1)ncnc2[N@@]3CCc4c(nc[nH]4)C3)Cl,DB07585,Not Available,-11.766991
Cc1nc2c(cc[nH]2)c(n1)[N@@]3CCC[C@H](C3)C(=O)Nc4ccc(cn4)Cl,SIM-263897-ENA,Not Available,-11.766958
c1cc2c(cc1Br)[nH]cc2CC(=O)NCc3c[nH+]c([nH]3)O,T2K-477260,Not Available,-11.762339
c1c[nH]c2c1c(ncn2)C(=O)N[C@@H]3[C@H]4[C@@H]3[NH2+]CCC4,SIM-351292-E15,Not Available,-11.753968
c1cnc2c(n1)[nH]c(n2)CCCCSc3c4c([nH]cn4)ncn3,SIM-152442-SAV,Not Available,-11.752620
CCN(Cc1[nH]c(=O)c2ccccc2n1)C(=O)CCc3c([nH]nc3C)C,EDB=66765,Not Available,-11.745202
Cc1c2cc(cnc2[nH]n1)C(=O)NC[C@H]3CCCc4c3cccc4,T2K-209784,Not Available,-11.744893
