SMILES,TITLE,receptor,Chemgauss4
Cc1ccc(c(c1)c2c3c([nH]n2)C(=O)N([C@@H]3c4cccc(c4)O)CCO)O,EDB=92814,Not Available,-15.424633
Cc1ccc(c2c1c-3n[nH]c(c(c3c2)Br)O)O,SIM-293232-G17,Not Available,-15.422716
COc1cccc(c1)NC(=O)NCc2cccc(c2)c3c(c[nH]n3)c4ccncc4,SIM-320045-SUR,Not Available,-15.397115
c1ccc2c(c1)[nH]c(n2)Cc3[nH]c4cc(ccc4n3)C(=[NH2+])N,SIM-115222-PCH,Not Available,-15.394733
CCOC(=O)c1nc([nH]n1)CNC(=O)c2cc3cc(ccc3[nH]2)Br,SIM-75115-E15,Not Available,-15.394521
COCCCN1[C@@H](c2c(n[nH]c2C1=O)c3ccccc3O)c4cc(c(c(c4)Br)O)OC,EDB=107341,Not Available,-15.383606
c1ccc2c(c1)-c3c(c([nH]n3)C(=O)NCc4ccccn4)CO2,T2K-235728,Not Available,-15.376710
COc1cccc(c1)[C@@H]2c3c(n[nH]c3C(=O)N2CCc4ccccc4)c5ccccc5O,EDB=125228,Not Available,-15.373186
COc1cccc(c1)[C@@H]2c3c(n[nH]c3C(=O)N2C[C@@H]4CCCO4)c5ccccc5O,EDB=52004,Not Available,-15.367450
Cc1ccc(c(c1)c2c3c([nH]n2)C(=O)N([C@@H]3c4cccc(c4)OC)CCCOC(C)C)O,EDB=69854,Not Available,-15.362936
CC(C)c1nc([nH]n1)c2ccccc2NC(=O)c3ccc(nc3)O,SIM-137342-ZIN,Not Available,-15.348700
CN1[C@@H](c2c(n[nH]c2C1=O)c3ccccc3O)c4cccc(c4)Cl,EDB=59442,Not Available,-15.345907
CC(C)c1nc([nH]n1)c2ccccc2NC(=O)c3ccc(nc3)C#C,SIM-137572-ENA,Not Available,-15.345282
c1ccc(cc1)OCc2nc([nH]n2)CNC(=O)c3cc4c([nH]3)cccc4OC(F)(F)F,SIM-250976-E15,Not Available,-15.339794
CCc1c(cc([nH]1)c2c3c(c(c[nH]3)O)[nH]n2)O,T2K-159308,Not Available,-15.338083
CC(C)c1nc([nH]n1)c2ccccc2NC(=O)c3ccc(nc3)SC,SIM-137579-ENA,Not Available,-15.338021
C[N@H+]1CCc2cc(c(c-3c2[C@H]1Cc4c3cc(c(c4)O)O)O)O,T2K-533606,Not Available,-15.331589
c1cc2c(c(c1)/C=C(\[NH3+])/N)[C@@H]([NH2+]CC2)c3ccc(o3)c4ccn[nH]4,T2K-390985,Not Available,-15.331461
CCc1c2c(n[nH]1)CC[N@H+](C2)Cc3[nH]c4ccccc4n3,T2K-526298,Not Available,-15.318491
c1ccc(c(c1)C[N@H+]2CCC[N@](CC2)c3c4cn[nH]c4ncn3)F,SIM-156467-ENA,Not Available,-15.315191
COc1cc(ccc1O)[C@@H]2c3c(n[nH]c3C(=O)N2C[C@@H]4CCCO4)c5ccccc5O,EDB=171914,Not Available,-15.305438
Cc1c2ccccc2nc(n1)CNC(=O)c3ccnc4c3nc([nH]4)O,T2K-452307,Not Available,-15.297314
CCCCN1[C@@H](c2c(n[nH]c2C1=O)c3ccccc3O)c4cc(c(c(c4)Br)O)OC,EDB=109878,Not Available,-15.294752
CC(C)c1nc([nH]n1)c2ccccc2NC(=O)c3ccc(nc3)N,SIM-137567-ENA,Not Available,-15.288120
CCCOc1ccc(cc1)[C@@H]2c3c(n[nH]c3C(=O)N2CCCO)c4ccccc4O,EDB=117576,Not Available,-15.287224
CCc1cc(n[nH]1)/C(=N/c2[nH]nc(n2)c3ccccn3)/O,T2K-504591,Not Available,-15.286486
C[C@]1(CC[C@H](c2c1[nH]c3c2cc([nH]3)O)C[NH3+])O,T2K-145617,Not Available,-15.285872
c1c(c(c(=O)[nH]n1)Cl)NC2[C@H]3[C@@H]2CCC3,SIM-163992-G17,Not Available,-15.283545
c1ccnc(c1)c2nc([nH]n2)/N=C(/c3cn[nH]n3)\O,T2K-507350,Not Available,-15.276916
COc1cc(cc(c1O)Br)[C@@H]2c3c(n[nH]c3C(=O)N2CCCO)c4ccccc4O,EDB=94497,Not Available,-15.274209
c1c(n[nH]c1C(=O)N)[C@@H]2CCC[N@@H+](C2)Cc3nc(on3)C4CC4,SIM-180515-MOS,Not Available,-15.271683
CC[N+]1=C/C(=C/2\[NH2+]C(=c3c(=N2)ccs3)O)/C(=O)NC1=O,T2K-490874,Not Available,-15.269954
Cc1cc(c(c(c1)c2c3c([nH]n2)C(=O)N([C@@H]3c4cccc(c4)O)CCCO)O)C,EDB=89495,Not Available,-15.261967
c1cc([nH]c1)c2c3cc(ccc3nc4c2C[C@@H]([NH2+]C4)C(=O)[O-])Cl,T2K-382355,Not Available,-15.254145
c1ccc(cc1)c2nc([nH]n2)CNC(=O)CNC(=O)c3c(cccn3)O,SIM-415001-ENA,Not Available,-15.249687
c1ccnc(c1)c2nc([nH]n2)/N=C(/c3ccc(nn3)O)\O,T2K-506853,Not Available,-15.241499
