SMILES,TITLE,receptor,Chemgauss4
c1ccc2c(c1)c3c([nH]2)[C@@H](N([C@@H](C3)C(=O)[O-])C(=O)C4CC4)c5ccc6c(c5F)cc[nH]6,T2K-388891,Not Available,-13.317239
Cc1cc([nH]c1/C=C\2/C(=CC(=N2)c3cc4ccccc4[nH]3)OC)C,DB12191,Not Available,-13.310484
c1ccc(cc1)[C@H](C(=O)N2CCOCC2)[NH2+]C[C@@H](c3cccs3)c4c[nH]c5c4cccc5,EDB=13284,Not Available,-13.279716
c1ccc(cc1)Cn2c3c(cn2)[C@@H](CCC3)NC(=O)CCCNC(=O)NC4CCCCC4,EDB=54846,Not Available,-13.272947
c1ccc2c(c1)[nH]c(n2)SCc3ccc(cc3)C(=O)NCCCCC(=O)[O-],SIM-56325-ZIN,Not Available,-13.272655
CCc1ccc([nH]1)C(=O)NCc2ccc3c(c2)[nH]c(=O)[nH]3,T2K-79025,Not Available,-13.270761
c1cc2c(cc1O)cc([nH]2)C(=O)c3cc4cc(ccc4[nH]3)O,T2K-205704,Not Available,-13.256100
c1ccc(cc1)C[C@@H]([C@H](C(=O)[O-])NC(=O)c2cc3cc(ccc3[nH]2)Br)O,SIM-438397-SUR,Not Available,-13.252121
c1cc2c(cc([nH]2)C(=O)N[C@H](CC3CC3)C(=O)[O-])c(c1)F,T2K-278375,Not Available,-13.248503
CC(C)Nc1cccc(c1)CNC(=O)c2cc3cc(ccc3[nH]2)F,T2K-209372,Not Available,-13.233435
Cc1ccc2cc([nH]c2c1)C(=O)c3cc4cc(ccc4[nH]3)O,SIM-300127-BDB,Not Available,-13.231339
c1ccc2c(c1)c(c[nH]2)CC(=O)OCc3ccc4c(c3)nn[nH]4,T2K-472594,Not Available,-13.230032
c1ccc(c(c1)COC(=O)c2cc3cc(ccc3[nH]2)N)F,T2K-257941,Not Available,-13.229548
c1ccc(cc1)c2cc(nc(c2C#N)SCC(=O)NCC(=O)[O-])c3ccccc3,SIM-48746-BDB,Not Available,-13.229244
CC[C@H](C)[C@H](C(=O)N)NC(=O)c1cc2cc(ccc2[nH]1)F,T2K-217931,Not Available,-13.229213
C[C@]12Cc3c4cc(ccc4[nH]c3[C@@H](N1C(=O)N(C2=O)CCC[N@@H+]5CCC=CC5)c6cccc(c6)O)Cl,T2K-402010,Not Available,-13.225471
C[C@@](C[NH3+])(C[NH+]1CCC(CC1)c2cc3ccccc3[nH]2)O,SIM-399144-E15,Not Available,-13.207695
C[C@H](C(=O)NC(=O)N)[N@H+]1CCC[C@@H]1CNC(=O)c2cc3ccccc3[nH]2,SIM-360099-E15,Not Available,-13.202864
c1c2c([nH]c1C(=O)N[C@@H]3CCc4c(cn[nH]4)C3)CCCC2,T2K-75705,Not Available,-13.202643
Cc1ccc2c(c1)cc([nH]2)C(=O)N[C@@H](C)c3cc(ccc3OC)C,EDB=244109,Not Available,-13.200832
Cc1ccc2c(c1)[nH]c(n2)[C@H]3CCCN3C(=O)Nc4ccc5c(c4)CCC(=O)N5,DUD=28819,Not Available,-13.174032
Cc1ccc(c2c1[nH]c(n2)c3ccccc3C(=O)Nc4cccc(c4)C(=O)C)C,SIM-420626-SAV,Not Available,-13.166382
Cc1c2[nH]c(cc2ccc1)C(=O)N[C@H]3CC[C@@H](CC3)[NH3+],SIM-366892-BDB,Not Available,-13.163456
COC(=O)CCCC(=O)N1CCC[C@H](C1)CNC(=O)c2cc3ccccc3[nH]2,SIM-359895-EMO,Not Available,-13.158840
c1ccc(cc1)[C@H](C(=O)N)NC(=O)c2cc3cc(ccc3[nH]2)Cl,SIM-208-PCH,Not Available,-13.158500
CC1(CC[C@@H](C1)NC(=O)c2cc3cc(ccc3[nH]2)N)C,T2K-257741,Not Available,-13.158016
c1cc(c(cc1N)c2nc([nH]n2)c3ccncc3)O,T2K-210493,Not Available,-13.156319
C[C@@H](C(=O)N[C@H]1CCCc2c1cccc2)Sc3[nH]c(nn3)c4cccs4,EDB=264341,Not Available,-13.153759
c1ccc(cc1)NC(=O)NCc2cccc(c2)c3cccc(c3O)c4cc5cnccc5[nH]4,SIM-491928-BDB,Not Available,-13.153746
CCC[C@H]1CN(CC[N@@H+]1Cc2ccccc2)C(=O)c3ccc(cc3)n4cnnc4,EDB=196336,Not Available,-13.147666
c1c(cc(c(c1F)F)F)C[NH2+]CC2CC[NH+](CC2)CCO,EDB=110327,Not Available,-13.143074
c1ccc2c(c1)cc([nH]2)CNC(=O)c3c(cn[nH]3)Br,T2K-457353,Not Available,-13.142944
c1cc(cc(c1)O)CNC(=O)c2cc3cc(ccc3[nH]2)F,T2K-208940,Not Available,-13.142345
c1c2[nH]c(cc2sc1)C(=O)NC[C@H]3CC[C@@H](CC3)C[NH3+],SIM-80486-ENA,Not Available,-13.142203
Cc1cccc2c1[nH]cc2CC(=O)OCc3ccc4c(c3)nn[nH]4,T2K-473938,Not Available,-13.133137
[H]/N=c/1\[nH]c(n/c(=N/[H])/[nH]1)C[N@@H+]2CCCc3c4cccc(c4[nH]c3C2)F,T2K-473788,Not Available,-13.127502
Cc1c2c(ccn1)nc([nH]2)[C@H]3CCCN(C3)C(=O)Cc4ccccc4,SIM-36182-SAV,Not Available,-13.127001
CC(C)[C@H](C(=O)[O-])NC(=O)c1cc2c([nH]1)cccc2F,T2K-258137,Not Available,-13.126041
CCCCc1nc2c(n1Cc3cccc(c3O)O)c4cc(ccc4nc2N)CCCCC[NH3+],CAS=48211,Not Available,-13.123562
c1ccc2c(c1)cc([nH]2)CNC(=O)CCCC(=O)NCc3cc4ccccc4[nH]3,SIM-68728-ENA,Not Available,-13.121908
c1cc([nH]c1)C(=O)N2CC(C2)NC(=O)c3cc4ccsc4[nH]3,T2K-469589,Not Available,-13.120150
C[C@@H](COC)[N@H+]1CCC[C@@H](C1)CNC(=O)c2cc3ccccc3[nH]2,SIM-360005-ENA,Not Available,-13.119855
C[C@@H](COC)[N@H+]1CCC[C@@H](C1)CNC(=O)c2cc3ccccc3[nH]2,SIM-359795-ZIN,Not Available,-13.119855
Cc1c(con1)C[N@H+]2CC[C@@H](C2)CNC(=O)c3cc4cc(ccc4[nH]3)F,SIM-80157-E15,Not Available,-13.117893
CC(=[NH2+])N1CCC(CC1)Oc2ccc3c4ccccc4n(c3c2)Cc5ccc6ccc(cc6c5)C(=[NH2+])N,DB02112,Not Available,-13.116687
c1ccc2c(c1)c(c[nH]2)CC/[NH+]=C(\N)/NC3CCCCC3,T2K-277817,Not Available,-13.112596
c1ccc(cc1)CNC(=O)[C@H](c2ccccc2)[NH+]3CCN(CC3)C(=O)c4ccncc4F,EDB=86309,Not Available,-13.109510
c1ccc(cc1)c2[nH]nc(n2)c3cc(ccc3O)N,T2K-211414,Not Available,-13.101437
c1cc2c(cc1F)cc([nH]2)C(=O)NC[C@H]3CCS(=O)(=O)C3,SIM-79953-PCH,Not Available,-13.090490
Cc1ccc(s1)C[N@H+]2C[C@H]([C@@H](C2)c3ccccc3)CN(C4CCCCC4)C(=O)c5ccccc5,DUD=62563,Not Available,-13.089996
CNC(=O)NC(=O)CC[NH+]1CCC(CC1)c2cc3ccccc3[nH]2,EDB=161033,Not Available,-13.088139
